bill,date,code,sp,quantity,price,revenue,discount
,,DL32677,Cửa Hàng Kem Dalimi,1,"1,490,000","1,490,000",
150005,22/07/2023,DL73260,Máy Pha Cà Phê Dalimi,1,"890,000","890,000",
150006,22/07/2023,MAG-715013,Bộ mở rộng 14 mảnh,1,"690,000","590,000","100,000"
150007,22/07/2023,MAG-701013,Bộ cơ bản 40 mảnh,1,"1,590,000","1,590,000",
150008,22/07/2023,MAG-701007,Bộ cơ bản 62 mảnh,1,"1,990,000","1,990,000",
150009,22/07/2023,MAG-706005,Bộ Neon 14 mảnh,1,"790,000","474,000","316,000"
150010,22/07/2023,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
150011,22/07/2023,MAG-707022,Bộ Xe Đua Kart Rally (Kèm Nhân Vật) Magformers,1,"590,000","590,000",
,,MAG-701003,Bộ cơ bản 14 mảnh,1,"690,000","490,000","200,000"
150012,22/07/2023,MAG-710016,Bộ Kỳ Quan Sáng Tạo 121 Mảnh,1,"3,490,000","3,490,000",
150013,22/07/2023,DL73049,Lò nướng cắm trại BBQ Dalimi,1,"990,000","990,000",
150014,22/07/2023,DL73261,Máy Xay Sinh Tố Dalimi,1,"890,000","890,000",
170001,22/07/2023,SG 401,Thử thách IQ Mini,1,"149,000","139,000","10,000"
,,SGM 506,Thử Thách Tập Hợp Chim Cánh Cụt,1,"590,000","551,000","39,000"
170002,22/07/2023,DL73045,Bệnh Viện Thú Cưng Dalimi,1,"790,000","790,000",
170003,22/07/2023,BX1573Z,Xe không gian điện đụng điều khiển từ xa,1,"1,390,000","1,390,000",
170004,22/07/2023,HP73322,Bể cá cầu vồng Harp,1,"1,590,000","1,590,000",
170005,22/07/2023,TM-801092,21 Nissan X-Trail,1,"89,000","44,000","45,000"
170006,22/07/2023,PL6640,Giraffe with Calf,1,"449,000","179,000","270,000"
170007,22/07/2023,HP32257,Máy làm sticker 3D Harp,1,"990,000","990,000",
170008,22/07/2023,PL9487,Trạm vũ trụ Sao Hỏa,1,"2,490,000","2,490,000",
170009,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
,,SG 302,Thử thách IQ Love,1,"329,000","329,000",
170010,22/07/2023,PL5578,Fitness Room,1,"389,000","155,000","234,000"
170011,22/07/2023,MAG-701003,Bộ cơ bản 14 mảnh,1,"690,000","490,000","200,000"
170012,22/07/2023,SG 401,Thử thách IQ Mini,1,"149,000","149,000",
170013,22/07/2023,TM-886259,LD-10 Wonderful Licca　,1,"699,000","699,000",
,,TM-449126,LD-17 Grandmother,1,"750,000","750,000",
,,TM-136064,LW-11 Trang phục chơi Tennis,1,"360,000","72,000","288,000"
170014,22/07/2023,4.52112E+12,POKEMON WREATH COLLECTION 2 Happiness ,1,"299,000","299,000",
170015,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170016,22/07/2023,SG 093,Thử thách Diamond Quest,1,"590,000","590,000",
,,SG 302,Thử thách IQ Love,1,"329,000","329,000",
,,SG 455,Thử thách IQ Pro,2,"279,000","558,000",
,,SG 467,Thử thách IQ Circuit,2,"279,000","558,000",
170017,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
,,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
170018,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170019,22/07/2023,DL73050,Bộ lều và dụng cụ cắm trại Dalimi,1,"1,190,000","1,190,000",
170020,22/07/2023,TM-877110,Ania Ag-06 Mythical Beast Dinosaur Battle Animal Set,1,"449,000","224,000","225,000"
,,POP-017/2017,8956688 H: King Penguin And Pulley Set,1,,,
,,TM-441748,E2 Yamabiko & E3 Komachi,1,"1,200,000","600,000","600,000"
170021,22/07/2023,AQB-79298,Hạt AQB_ Chủ đề Thú cưng,1,"159,000","47,000","112,000"
170022,22/07/2023,TM-981121,Build City Restaurant In Your Town,1,"199,000","99,000","100,000"
170023,22/07/2023,433-206,Xe trượt scooter 3 bánh gấp gọn có bánh xe phát ,1,"2,180,000","2,180,000",
170024,22/07/2023,HP73207,Bộ dụng cụ đóng dấu Harp,1,"890,000","890,000",
170025,22/07/2023,TM-861713,Metacolle Evangelion 02,1,"279,000","139,000","140,000"
170026,22/07/2023,TM-301646,Tomica Circuit,1,"1,890,000","1,134,000","756,000"
,,TM-801092,21 Nissan X-Trail,1,"89,000","44,000","45,000"
,,TM-397618,07 Impreza WRX,1,"89,000","44,000","45,000"
,,TM-801115,14 Formula Renault 3.5,1,"89,000","44,000","45,000"
,,TM-801009,40 Nissan Fairlady Nismo,1,"89,000","44,000","45,000"
,,TM-359623,12 Nissan March,1,"89,000","44,000","45,000"
170027,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
,,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
170028,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
,,SG 401,Thử thách IQ Mini,1,"149,000","149,000",
170029,22/07/2023,SG 306,Thử thách IQ Twins,1,"279,000","279,000",
170030,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170031,22/07/2023,TM-805335,R-17 Three Way Rail,1,"140,000","140,000",
,,TM-654872,R-21 Double-Size Curve,1,"120,000","120,000",
170032,22/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
170033,22/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
170034,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170035,22/07/2023,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
170036,22/07/2023,HP73322,Bể cá cầu vồng Harp,1,"1,590,000","1,590,000",
170037,22/07/2023,SG 423,Thử thách IQ hạt tròn,1,"279,000","279,000",
,,SG 467,Thử thách IQ Circuit,1,"279,000","279,000",
170038,22/07/2023,MAG-701005,Bộ cơ bản 30 mảnh,1,"1,290,000","990,000","300,000"
170039,22/07/2023,MAG-715019,Bộ thử thách 14 mảnh,1,"690,000","590,000","100,000"
170040,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
,,SG 306,Thử thách IQ Twins,1,"279,000","279,000",
170041,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
170042,22/07/2023,TM-813903,Hắc Long Thần Chiến,1,"349,000","104,000","245,000"
170043,22/07/2023,MAG-706005,Bộ Neon 14 mảnh,1,"790,000","474,000","316,000"
190001,22/07/2023,TM-801733,14 Formula Renault 3.5 SP,1,"89,000","44,000","45,000"
190002,22/07/2023,TM-842415,Tomica Lucky Draw Hello Kitty,1,"160,000","80,000","80,000"
190003,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
190004,22/07/2023,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
190005,22/07/2023,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
190006,22/07/2023,RB-8840,Rubik's 3x3,1,"349,000","279,000","70,000"
190007,22/07/2023,TM-333692,20 Honda Insight,1,"89,000","44,000","45,000"
,,TM-333692,20 Honda Insight,1,"89,000","44,000","45,000"
,,TM-800248,01Toyota Avanza,1,"89,000","44,000","45,000"
,,TM-800248,01Toyota Avanza,1,"89,000","44,000","45,000"
190008,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
190009,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
190010,22/07/2023,TM-844716,Tomica Toy Story  Jessie And Toy Box Carriage,1,"279,000","111,000","168,000"
190011,22/07/2023,TM-809104,HR14 Engineering Motor Bike,1,"120,000","60,000","60,000"
190012,22/07/2023,TM-801115,14 Formula Renault 3.5,1,"89,000","44,000","45,000"
,,TM-801733,14 Formula Renault 3.5 SP,1,"89,000","44,000","45,000"
190013,22/07/2023,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
190015,22/07/2023,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
190016,22/07/2023,TM-806516,DM-02 Chim Chim alien,1,"160,000","80,000","80,000"
,,TM-466383,Dream Tomica Hello Kitty,1,"160,000","80,000","80,000"
,,TM-844228,DM Tsum Tsum Sully,1,"180,000","90,000","90,000"
,,TM-806707,DM-03 Speedway star buzz,1,"160,000","80,000","80,000"
190017,22/07/2023,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
,,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
,,TM-884514,B-41 Bộ Con Quay Wild Wyvern. V.O,1,"379,000","74,000","305,000"
,,TM-861096,B-40 Beybladeburst Launcher Grip,1,"199,000","25,000","174,000"
190018,22/07/2023,MAG-701003,Bộ cơ bản 14 mảnh,1,"690,000","490,000","200,000"
SO0001,22/07/2023,SG 098,Thử thách Đảo kho báu,1,"590,000","590,000",
SO0002,22/07/2023,PL70985,Ngôi nhà xách tay,1,"1,290,000","1,290,000",
,,PL6843,Princess and Handmaid,1,"199,000",,"199,000"
SO0003,22/07/2023,SG 306,Thử thách IQ Twins,1,"279,000","279,000",
SO0004,22/07/2023,SG 301,Thử thách IQ Digits,1,"329,000","329,000",
SO0005,22/07/2023,SG 098,Thử thách Đảo kho báu,1,"590,000","590,000",
,,SGM 506,Thử Thách Tập Hợp Chim Cánh Cụt,1,"590,000","590,000",
SO0006,22/07/2023,SG 467,Thử thách IQ Circuit,1,"279,000","279,000",
SO0007,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
SO0008,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
SO0009,22/07/2023,TM-147503,Bộ Búp Bê Hoàng Tử Đặc Biệt,1,"1,299,000","650,000","649,000"
SO0010,22/07/2023,HP32257,Máy làm sticker 3D Harp,1,"990,000","990,000",
SO0011,22/07/2023,SG 479,Thử thách IQ Six Pro,1,"279,000","279,000",
SO0012,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
SO0013,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
SO0014,22/07/2023,SG 455,Thử thách IQ Pro,1,"279,000","279,000",
20001,23/07/2023,DL32677,Cửa Hàng Kem Dalimi,1,"1,490,000","1,490,000",
,,541-110,Bộ bảo hộ chơi xe trượt scooter GLOBBER JUNIOR ,1,"520,000","520,000",
20002,23/07/2023,TM-463566,DM-15 Speedway Daisy,1,"160,000","80,000","80,000"
20003,23/07/2023,TM-741671,S-32 Yamanote,1,"390,000","390,000",
,,TM-733171,Đồ chơi Free Curve Rail Set,1,"398,000","278,000","120,000"
20004,23/07/2023,MAG-701005,Bộ cơ bản 30 mảnh,1,"1,290,000","990,000","300,000"
20005,23/07/2023,SG 306,Thử thách IQ Twins,1,"279,000","279,000",
20006,23/07/2023,SG 099,Nhảy Qua Nào (Bản đặc biệt),1,"590,000","590,000",
20007,23/07/2023,MAG-715015,Bộ mở rộng 30 mảnh,1,"1,290,000","1,090,000","200,000"
20008,23/07/2023,HD-55006,Joyful Farm Blocks 48pcs,1,"549,000","274,000","275,000"
20009,23/07/2023,AQB-30128,Hạt AQB_ Chủ đề Cars,1,"349,000","104,000","245,000"
,,AQB-31038,Bộ Hạt Nhựa Sáng Tạo AQB_ Chủ Đề Elegant,1,"159,000","47,000","112,000"
,,AQB-79238,Hạt AQB_Vòng đeo tay,1,"159,000","47,000","112,000"
,,AQB-79658,Bút AQB (lấy hạt)_Hồng,1,"89,000","89,000",
20010,23/07/2023,DL32677,Cửa Hàng Kem Dalimi,1,"1,490,000","1,490,000",
20011,23/07/2023,SG 467,Thử thách IQ Circuit,1,"279,000","279,000",
20012,23/07/2023,TM-883494,DX Parking T-Kun Carrier Truck,1,"749,000","224,000","525,000"
,,TM-397618,07 Impreza WRX,1,"89,000","44,000","45,000"
