bill,date,code,sp,quantity,price,revenue,discount,%
SO0036,18/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0037,18/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
SO0038,18/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0040,18/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
,,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
SO0041,18/01/22,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
,,SG 412,Ghép hình lập phương,1,399000,338000,61000,0.152882206
,,SG 455,Thử thách IQ Pro,1,249000,211000,38000,0.152610442
,,SG 023,Ba chú heo con,1,690000,690000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
,,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
,,SG 023,Ba chú heo con,1,690000,690000,0,0
20014,22/01/22,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
150001,22/01/22,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150002,22/01/22,SG 445,Thử thách Quả táo xoắn não,1,399000,399000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
170004,22/01/22,SG 412,Ghép hình lập phương,1,399000,399000,0,0
20005,23/01/22,SG 424,Thử thách IQ Arrows,1,249000,211000,38000,0.152610442
,,SG 412,Ghép hình lập phương,1,399000,338000,61000,0.152882206
20015,23/01/22,SG 477,Thử thách IQ Link,1,249000,249000,0,0
,,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
190011,23/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
190017,23/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
190019,23/01/22,SG 425,Sóc lăn hạt,1,399000,399000,0,0
190020,23/01/22,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
20004,24/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,211000,38000,0.152610442
,,SG 412,Ghép hình lập phương,1,399000,338000,61000,0.152882206
SO0007,24/01/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
SO0009,24/01/22,SG 467,Thử thách IQ Circuit,1,279000,274000,5000,0.017921147
,,SG 455,Thử thách IQ Pro,1,249000,244000,5000,0.020080321
SO0012,24/01/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150001,25/01/22,SG 488,Thử thách IQ Twist,1,249000,249000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150006,25/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0004,25/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
SO0006,25/01/22,SG 422,Thử thách IQ Focus,1,249000,244000,5000,0.020080321
,,SG 455,Thử thách IQ Pro,1,249000,244000,5000,0.020080321
SO0010,25/01/22,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
SO0011,25/01/22,SG 425,Sóc lăn hạt,1,399000,319000,80000,0.200501253
SO0013,25/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0014,25/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
SO0020,25/01/22,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,531000,59000,0.1
SO0025,25/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
SO0026,25/01/22,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
SO0028,25/01/22,SG 425,Sóc lăn hạt,1,399000,319000,80000,0.200501253
SO0030,25/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
,,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
,,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150002,26/01/22,SG 412,Ghép hình lập phương,1,399000,399000,0,0
170016,26/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
170018,26/01/22,SG 412,Ghép hình lập phương,1,399000,338000,61000,0.152882206
,,SG 455,Thử thách IQ Pro,1,249000,211000,38000,0.152610442
190002,26/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 477,Thử thách IQ Link,1,249000,249000,0,0
,,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
,,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
20007,27/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
150011,27/01/22,SG 477,Thử thách IQ Link,1,249000,249000,0,0
150015,27/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
170003,27/01/22,SG 412,Ghép hình lập phương,1,399000,399000,0,0
SO0005,27/01/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
SO0006,27/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
SO0007,27/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 477,Thử thách IQ Link,1,249000,249000,0,0
20002,28/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
20006,28/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
20007,28/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
20012,28/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
150002,28/01/22,SG 467,Thử thách IQ Circuit,2,279000,558000,0,0
,,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
170008,28/01/22,SG 444,Thử thách IQ XOXO,1,249000,249000,0,0
20007,29/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
20014,29/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
20018,29/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
,,SG 412,Ghép hình lập phương,1,399000,399000,0,0
20026,29/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
,,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,499000,0,0
150003,29/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
150008,29/01/22,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 423,Thử thách IQ hạt tròn,1,249000,249000,0,0
,,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150010,29/01/22,SG 424,Thử thách IQ Arrows,1,249000,249000,0,0
150023,29/01/22,SG 422,Thử thách IQ Focus,1,249000,249000,0,0
150024,29/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
,,SG 467,Thử thách IQ Circuit,1,279000,279000,0,0
,,SG 412,Ghép hình lập phương,1,399000,399000,0,0
,,SG 023,Ba chú heo con,1,690000,690000,0,0
20025,30/01/22,SG 412,Ghép hình lập phương,1,399000,399000,0,0
,,SG 023,Ba chú heo con,1,690000,690000,0,0
150022,30/01/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150023,30/01/22,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
150025,30/01/22,SGM 201,Ghép hình lập phương mở rộng,1,499000,399000,100000,0.200400802
150029,30/01/22,SG 412,Ghép hình lập phương,1,399000,399000,0,0
190006,2/2/2022,SG 455,Thử thách IQ Pro,1,249000,249000,0,0
190007,2/2/2022,SG 094,Thử thách Đại chiến Tàu hải tặc,1,590000,590000,0,0
