bill,date,code,sp,quantity,price,revenue,discount,%
170007,11/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
220001,11/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
,,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
280001,11/1/2021,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
70003,12/1/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150001,12/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
150002,12/1/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
150004,12/1/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150005,12/1/2021,SG 455,Thử thách IQ Pro,2,"249,000","498,000",0,0
,,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
170007,12/1/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
300008,12/1/2021,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
50001,13/01/2021,SGM 201,Ghép hình lập phương mở rộng,1,"499,000","499,000",0,0
140015,13/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
150004,13/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150005,13/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
170002,13/01/2021,SG 424,Thử thách IQ Arrows,1,"249,000","249,000",0,0
170003,13/01/2021,SG 421,Nhảy qua nào,1,"399,000","279,000","120,000",0.3
170007,13/01/2021,SG 421,Nhảy qua nào,1,"399,000","279,000","120,000",0.3
CR2101100322,13/01/2021,SG 424,Thử thách IQ Arrows,-1,"249,000","-249,000",0,0
300002,13/01/2021,SG 023 ,Ba chú heo con,1,"690,000","690,000",0,0
80006,14/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
,,SG 444,Thử thách IQ XOXO,1,"249,000","249,000",0,0
140018,14/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150002,14/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150003,14/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150004,14/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
150005,14/01/2021,SG 488,Thử thách IQ Twist,1,"249,000","249,000",0,0
200001,14/01/2021,SG 282,Hòn đảo khủng long huyền bí,1,"590,000","590,000",0,0
20006,15/01/2021,SG 423,Thử thách IQ hạt tròn,1,"249,000","249,000",0,0
40001,15/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 425,Sóc lăn hạt,1,"399,000","279,000","120,000",0.3
40002,15/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
80007,15/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
100001,15/01/2021,SG 466,Thử thách IQ Blox,1,"249,000","249,000",0,0
120002,15/01/2021,SG 422,Thử thách IQ Focus,1,"249,000","249,000",0,0
140012,15/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
,,SG 477,Thử thách IQ Link,1,"249,000","249,000",0,0
,,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
140014,15/01/2021,SG 423,Thử thách IQ hạt tròn,2,"249,000","498,000",0,0
150003,15/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
150009,15/01/2021,SG 455,Thử thách IQ Pro,1,"249,000","249,000",0,0
