code,name,price,stock,FL Lotte,FL Takashimaya,FL Estella,FL Crescent Mall,Sale Online,FL Event HCM,Kho VP805,Kho GKCPP,Kho FL,Kho ADC,FL Sai Dong,Kho HN_Thanh lý,Kho HCM_Thanh lý
AQB-31068,Bộ Hạt Nhựa Sáng Tạo AQB_ Chủ Đề Sylvanian Families,"159,000",4,1,,,,,,,,3,,,,
AQB-31078,Bộ Hạt Nhựa Sáng TạoAQB_ Chủ Đề Sở Thú,"159,000",33,5,,,,,15,,,9,,4,,
AQB-31088,Bộ Hạt Nhựa Sáng Tạo AQB_ Chủ Đề Vườn Hoa,"159,000",59,6,,5,,,12,,24,9,,3,,
AQB-31308,Bộ Hạt Nhựa Sáng Tạo AQB_Chủ Đề Disney Tsum Tsum,"349,000",1,,,,,,,,,1,,,,
AQB-31318,Bộ Hạt Nhựa Sáng Tạo AQB_ Công Chúa Elena,"289,000",2,,,,,,,,,2,,,,
AQB-31602,Hạt Aquabeads Ngôi sao (Refill) Chủ đề Những người bạn,"149,000",6,,,,,,,,,6,,,,
AQB-31603,Hạt Aquabeads Ngôi sao (Refill),"149,000",15,4,1,7,,,,,,3,,,,
AQB-32508,Hạt AQB màu đỏ (loại tròn),"139,000",329,6,1,1,,,4,,312,1,,4,,
AQB-32518,Hạt AQB màu cam (loại tròn),"139,000",400,5,,4,,,,,312,58,,21,,
AQB-32528,Hạt AQB màu vàng (loại tròn),"139,000",83,4,,12,,,12,,,41,,14,,
AQB-32538,Hạt AQB Màu Xanh Nhạt (Loại Tròn),"139,000",49,1,,12,,,11,,,3,,22,,
AQB-32548,Hạt AQB màu xanh lá (loại tròn),"139,000",472,5,1,11,,,7,,384,43,,21,,
AQB-32558,Hạt AQB màu xanh dương nhạt (loại tròn),"139,000",437,6,,7,,,17,,360,33,,14,,
AQB-32568,Hạt AQB màu xanh dương (loại tròn),"139,000",373,2,,14,,,15,,288,15,,39,,
AQB-32578,Hạt AQB màu tím (loại tròn),"139,000",321,3,,11,,,6,,264,8,,29,,
AQB-32588,Hạt AQB màu hồng (loại tròn),"139,000",257,7,,,,,16,,216,7,,11,,
AQB-32598,Hạt AQB Màu Nâu (Loại Tròn),"139,000",111,6,,22,,,,,,54,,29,,
AQB-32608,Hạt AQB Màu Nâu Nhạt (Loại Tròn),"139,000",212,6,,26,,,6,,120,22,,32,,
